Sprint #,Sprint Name,Task ID,Task Title,User Story (short),Area,Type,AI/Non-AI,Risk,SP,Status,Start Date,Completed Date,Dependencies,Acceptance Criteria Ref,Tracker Notes (Dev Agent)
1,Workspace & Foundation,1.1,Wire Parent app into workspace & gateway routing,Workspace: Parent frontend/backend wired into monorepo + gateway,Workspace / Gateway,Hardening,Non-AI,Low,2,Done,2026-02-01,2026-02-01,None,Backlog § Task 1.1 Checklist,RBAC updated for Parent; gateway proxy maps /api/parent → :3002
1,Workspace & Foundation,1.2,Parent backend skeleton (NestJS service),Backend: Parent NestJS service skeleton with core modules,Parent Backend,Feature,Non-AI,Low,2,Done,2026-02-01,2026-02-01,1.1,Backlog § Task 1.2 Checklist,Full NestJS skeleton: 7 modules + guards + filters + Swagger
1,Workspace & Foundation,1.3,Parent DB schema & migrations (parent_accounts & support),Data: parent_accounts and login attempts schema,Parent Backend — Data,Hardening,Non-AI,Low,3,Done,2026-02-01,2026-02-02,1.2,Backlog § Task 1.3 Checklist,parent_accounts + parent_login_attempts + student_external_id + dev seeder
1,Workspace & Foundation,1.4,Shared contracts for Parent APIs in @mindforge/shared,Shared: Parent DTOs/enums in @mindforge/shared,Shared,Feature,Non-AI,Low,1,Done,2026-02-02,2026-02-02,1.2,Backlog § Task 1.4 Checklist,ParentProfileDto ChildSummaryDto ParentDashboardDto etc in shared
2,Auth & Linkage,2.1,Parent MPIN auth API (mobile + MPIN),Backend: mobile + 6-digit MPIN login for parents,Parent Backend — Auth,Feature,Non-AI,Medium,3,Done,2026-02-02,2026-02-02,1.3,Backlog § Task 2.1 Checklist,POST /v1/parent/auth/login; JWT with linkedStudentId
2,Auth & Linkage,2.2,Lockout & rate limiting for Parent login,Backend: lockout & rate limits for MPIN attempts,Parent Backend — Auth,Hardening,Non-AI,Medium,2,Done,2026-02-02,2026-02-02,2.1,Backlog § Task 2.2 Checklist,5 attempts → 15 min lockout; retryAfter
2,Auth & Linkage,2.3,Parent profile & parent↔student linkage enforcement,Backend: profile + enforce one child per parent,Parent Backend — Profile & Linkage,Feature,Non-AI,Low,3,Done,2026-02-02,2026-02-03,2.1,Backlog § Task 2.3 Checklist,GET /v1/parent/profile; GET /v1/parent/auth/me
3,Read APIs,3.1,Academic progress read APIs (tests & summary),Backend: read-only tests & progress for child,Parent Backend — Academic Progress,Feature,Non-AI,Medium,3,Done,2026-02-04,2026-02-04,2.3,Backlog § Task 3.1 Checklist,Teacher cross-app sync; ProgressController
3,Read APIs,3.2,Attendance read APIs (weekly/monthly/yearly),Backend: attendance views for child,Parent Backend — Attendance,Feature,Non-AI,Medium,3,Done,2026-02-04,2026-02-04,2.3,Backlog § Task 3.2 Checklist,Teacher calendar merge; AttendanceController
3,Read APIs,3.3,"Fees summary, history & pay info APIs",Backend: fees summary/history + pay info,Parent Backend — Fees & Pay Info,Feature,Non-AI,Low,2,Done,2026-02-04,2026-02-04,2.3,Backlog § Task 3.3 Checklist,Config-driven stub; FeesController
4,Dashboard Aggregation,4.1,Parent dashboard DTO & aggregation logic,Backend: dashboard aggregate for Home,Parent Backend — Dashboard,Feature,Non-AI,Medium,3,Done,2026-02-05,2026-02-05,"3.1, 3.2, 3.3",Backlog § Task 4.1 Checklist,GET /v1/parent/dashboard; DashboardController
4,Dashboard Aggregation,4.2,Caching and timeout policies for upstream calls,Backend: caching/timeouts for Teacher/Admin upstreams,Parent Backend — Integration,Hardening,Non-AI,Low,3,Done,2026-02-05,2026-02-05,"3.1, 3.2, 3.3, 4.1",Backlog § Task 4.2 Checklist,5s timeout; retry 1; TeacherSyncService
4,Dashboard Aggregation,4.3,Parent backend error mapping & observability (MVP),Backend: error mapping + basic logs/metrics,Parent Backend — Observability,Hardening,Non-AI,Low,2,Done,2026-02-05,2026-02-05,1.2–3.3,Backlog § Task 4.3 Checklist,GlobalExceptionFilter; LoggingInterceptor
5,"Frontend Shell, Login & Home",5.1,"Parent frontend app shell, routing & bottom nav",Frontend: app shell + bottom nav for Parent,Parent Frontend,Feature,Non-AI,Low,2,Done,2026-02-06,2026-02-06,"1.1, 1.4",Backlog § Task 5.1 Checklist,React Router; BottomNav; Auth guard
5,"Frontend Shell, Login & Home",5.2,Login screen (mobile + MPIN),Frontend: phone + MPIN login screen,Parent Frontend — Auth,Feature,Non-AI,Low,3,Done,2026-02-06,2026-02-06,"5.1, 2.1, 2.2",Backlog § Task 5.2 Checklist,Mobile + MPIN keypad; lockout handling
5,"Frontend Shell, Login & Home",5.3,Home (Dashboard) screen,"Frontend: dashboard with latest test, attendance %, fees",Parent Frontend — Dashboard,Feature,Non-AI,Low,3,Done,2026-02-06,2026-02-07,"5.1, 4.1",Backlog § Task 5.3 Checklist,Cards; quick links; loading/error
6,Frontend Progress & Attendance,6.1,Academic Progress screen,Frontend: academic progress charts & tests list,Parent Frontend — Progress,Feature,Non-AI,Low,3,Done,2026-02-07,2026-02-07,"5.1, 3.1",Backlog § Task 6.1 Checklist,Subject chips; tests list
6,Frontend Progress & Attendance,6.2,Attendance screen (weekly/monthly/yearly views),Frontend: attendance calendar and summaries,Parent Frontend — Attendance,Feature,Non-AI,Low,3,Done,2026-02-07,2026-02-08,"5.1, 3.2",Backlog § Task 6.2 Checklist,Segmented; summary; absent days
6,Frontend Progress & Attendance,6.3,Accessibility & mobile optimisations (core screens),Frontend: accessibility & mobile polish,Parent Frontend — Accessibility,Hardening,Non-AI,Low,2,Done,2026-02-08,2026-02-08,"5.2, 5.3, 6.1, 6.2",Backlog § Task 6.3 Checklist,44px tap targets; aria-labels
7,Frontend Fees & Profile,7.1,Fees & Pay Info screen,Frontend: fees summary + pay info read-only,Parent Frontend — Fees,Feature,Non-AI,Low,3,Done,2026-02-09,2026-02-09,"5.1, 3.3",Backlog § Task 7.1 Checklist,Fees summary; history; pay info; disclaimer
7,Frontend Fees & Profile,7.2,Profile screen (parent & child summary),Frontend: profile with parent & child summary,Parent Frontend — Profile,Feature,Non-AI,Low,2,Done,2026-02-09,2026-02-09,"5.1, 2.3",Backlog § Task 7.2 Checklist,Parent & child; contact school; logout
7,Frontend Fees & Profile,7.3,Empty/error/offline states across Parent screens,Frontend: consistent UX states across screens,Parent Frontend — UX Polish,Hardening,Non-AI,Low,3,Done,2026-02-09,2026-02-10,"5.2, 5.3, 6.1, 6.2, 7.1, 7.2",Backlog § Task 7.3 Checklist,OfflineBanner; consistent error/empty
8,Hardening & Validation,8.1,"Parent service observability (logs, metrics, tracing)",DevOps: observability for Parent backend,DevOps / Parent Backend,Hardening,Non-AI,Low,2,Done,2026-02-10,2026-02-10,1.2–4.3,Backlog § Task 8.1 Checklist,GET /v1/health/integration; DB + Teacher check
8,Hardening & Validation,8.2,"Security review: RBAC, data scoping & read-only guarantees",Security: read-only + scoping review for Parent,Parent Backend — Security,Hardening,Non-AI,Medium,3,Done,2026-02-10,2026-02-10,2.1–3.3,Backlog § Task 8.2 Checklist,Security checklist doc; linkedStudentId scoping
8,Hardening & Validation,8.3,Cross-app integration validation (Teacher/Admin/Student),Integration: validate Parent vs Teacher/Admin data,Integration,Hardening,Non-AI,Medium,3,Done,2026-02-10,2026-02-10,3.1–3.3,Backlog § Task 8.3 Checklist,Aggregation rules doc; integration health
